Order ID,Ship Mode,Customer ID,Product ID,Sales,Quantity,Discount,Discount Value,Profit,COGS
CA-2016-152156,Second Class,CG-12520,FUR-BO-10001798,261.96,2,0.0,0.0,41.9136,-220.0464
CA-2016-152156,Second Class,CG-12520,FUR-CH-10000454,731.94,3,0.0,0.0,219.582,-512.358
CA-2016-138688,Second Class,DV-13045,OFF-LA-10000240,14.62,2,0.0,0.0,6.8714,-7.7486
US-2015-108966,Standard Class,SO-20335,FUR-TA-10000577,957.5775,5,0.45,-430.909875,-383.031,-909.698625
US-2015-108966,Standard Class,SO-20335,OFF-ST-10000760,22.368,2,0.2,-4.4736,2.5164,-15.378
CA-2014-115812,Standard Class,BH-11710,FUR-FU-10001487,48.86,7,0.0,0.0,14.1694,-34.6906
CA-2014-115812,Standard Class,BH-11710,OFF-AR-10002833,7.28,4,0.0,0.0,1.9656,-5.3144
CA-2014-115812,Standard Class,BH-11710,TEC-PH-10002275,907.152,6,0.2,-181.4304,90.7152,-635.0064
CA-2014-115812,Standard Class,BH-11710,OFF-BI-10003910,18.504,3,0.2,-3.7008,5.7825,-9.0207
CA-2014-115812,Standard Class,BH-11710,OFF-AP-10002892,114.9,5,0.0,0.0,34.47,-80.43
CA-2014-115812,Standard Class,BH-11710,FUR-TA-10001539,1706.184,9,0.2,-341.2368,85.3092,-1279.638
CA-2014-115812,Standard Class,BH-11710,TEC-PH-10002033,911.424,4,0.2,-182.2848,68.3568,-660.7824
CA-2017-114412,Standard Class,AA-10480,OFF-PA-10002365,15.552,3,0.2,-3.1104,5.4432,-6.9984
CA-2016-161389,Standard Class,IM-15070,OFF-BI-10003656,407.976,3,0.2,-81.5952,132.5922,-193.7886
US-2015-118983,Standard Class,HP-14815,OFF-AP-10002311,68.81,5,0.8,-55.048,-123.858,-137.62
US-2015-118983,Standard Class,HP-14815,OFF-BI-10000756,2.544,3,0.8,-2.0352,-3.816,-4.3248
CA-2014-105893,Standard Class,PK-19075,OFF-ST-10004186,665.88,6,0.0,0.0,13.3176,-652.5624
