Order ID,Product ID,Category,Sub-Category,Product Name
CA-2016-152156,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase
CA-2016-152156,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
CA-2016-138688,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal
US-2015-108966,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table
US-2015-108966,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold ''N Roll Cart System
CA-2014-115812,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood"
CA-2014-115812,OFF-AR-10002833,Office Supplies,Art,Newell 322
CA-2014-115812,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone
CA-2014-115812,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill
CA-2014-115812,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge
CA-2014-115812,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables
CA-2014-115812,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black
CA-2017-114412,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967
CA-2016-161389,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine
US-2015-118983,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter"
US-2015-118983,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders
CA-2014-105893,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D"""
CA-2014-167164,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer
CA-2014-143336,OFF-AR-10003056,Office Supplies,Art,Newell 341
CA-2014-143336,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone
